Variant,Scale,CPU,Cost,Latency(ms),FPS,Accuracy,SLA
YOLOv8n,1,1,1,234.2,4.3,1.0,False
YOLOv8n,1,2,2,271.5,3.7,1.0,False
YOLOv8n,2,1,2,189.5,5.3,1.0,False
YOLOv8n,2,2,4,164.5,6.1,1.0,False
YOLOv8n,2,4,8,125.6,8.0,1.0,False
YOLOv8n,4,2,8,56.4,17.7,1.0,False
YOLOv8s,1,2,2,409.4,2.4,1.0,False
YOLOv8s,2,2,4,212.2,4.7,1.0,False
YOLOv8s,2,4,8,185.7,5.4,1.0,False
YOLOv8s,4,2,8,104.6,9.6,1.0,False
YOLOv8s,4,4,16,99.1,10.1,1.0,False
YOLOv8m,1,4,4,688.1,1.5,1.0,False
YOLOv8m,2,4,8,341.5,2.9,1.0,False
YOLOv8m,3,4,12,239.9,4.2,1.0,False
YOLOv8m,4,4,16,180.1,5.6,1.0,False
YOLOv8l,1,8,8,1180.8,0.8,1.0,False
YOLOv8l,2,8,16,655.9,1.5,1.0,False
YOLOv8l,3,8,24,402.7,2.5,1.0,False
YOLOv8l,4,8,32,392.0,2.6,1.0,False
