Variant,Scale (Replicas),CPU Cores,Cost,Latency (ms),Throughput (fps),Accuracy,Objects,SLA Met
YOLOv8n,1,1,1,124.24,8.05,1.0,2511,False
YOLOv8n,2,1,2,122.91,8.14,1.0,2511,False
YOLOv8n,2,2,4,123.08,8.12,1.0,2511,False
YOLOv8n,4,1,4,120.28,8.31,1.0,2511,False
YOLOv8n,4,2,8,127.51,7.84,1.0,2511,False
YOLOv8s,1,1,1,206.1,4.85,1.0,2860,False
YOLOv8s,2,2,4,256.24,3.9,1.0,2860,False
YOLOv8s,3,2,6,211.99,4.72,1.0,2860,False
YOLOv8s,4,2,8,223.43,4.48,1.0,2860,False
YOLOv8s,4,4,16,206.26,4.85,1.0,3515,False
YOLOv8m,2,2,4,203.77,4.91,1.0,1350,False
YOLOv8m,3,2,6,376.49,2.66,1.0,2714,False
YOLOv8m,4,2,8,375.21,2.67,1.0,2714,False
YOLOv8m,4,4,16,367.98,2.72,1.0,3162,False
YOLOv8m,5,2,10,375.02,2.67,1.0,2714,False
YOLOv8l,2,4,8,325.3,3.07,1.0,870,False
YOLOv8l,3,4,12,658.19,1.52,1.0,1727,False
YOLOv8l,4,4,16,662.63,1.51,1.0,2111,False
YOLOv8l,5,4,20,648.93,1.54,1.0,2176,False
